objectId,inSize,outSize,totalTime,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
o27825,25,166,357,19,267,3,37,0,0,7,0,0,0,0,10,2,true,false,true,2,,04052022_115632,1200000,null,SuperPiuma.local
o27841,43,266,357,19,267,4,36,0,0,4,0,1,0,0,5,2,true,false,true,2,,,,,
o67205,43,266,357,19,267,4,37,0,0,4,0,5,0,0,6,2,true,false,true,2,,,,,
o89637,60,348,357,19,267,3,37,0,6,1,0,0,0,0,9,2,true,false,true,2,,,,,
o27830,61,391,357,19,267,4,36,0,0,10,0,0,2,0,4,2,true,false,true,2,,,,,
o35505,66,166,399,19,267,3,40,0,0,0,0,0,55,0,4,7,true,false,true,2,,,,,
o31117,81,166,399,19,267,3,36,0,0,0,0,2,52,0,4,8,true,false,true,2,,,,,
o28265,88,166,357,19,267,3,35,0,0,3,0,1,1,0,14,2,true,false,true,2,,,,,
o24891,89,166,15,0,2,0,0,0,0,1,0,0,0,0,2,9,true,false,true,2,,,,,
o27834,96,649,26,0,2,0,13,0,1,4,0,0,0,0,3,0,true,false,true,2,,,,,
o67689,100,166,4,1,0,0,0,0,0,0,0,0,1,0,2,0,true,false,true,2,,,,,
o63996,105,166,4,0,0,0,0,0,0,1,0,0,1,0,0,2,true,false,true,2,,,,,
o19978,106,166,14,0,1,0,1,0,0,1,0,0,1,0,2,8,true,false,true,2,,,,,
o9292,109,632,43,0,2,1,4,0,4,1,2,0,10,0,12,1,true,false,true,2,,,,,
o25175,112,166,9,0,0,1,0,0,0,0,0,0,1,0,1,6,true,false,true,2,,,,,
o48514,115,433,36,1,0,0,1,0,3,1,1,0,3,0,19,5,true,false,true,2,,,,,
o34210,121,309,29,0,0,14,7,0,0,2,0,1,2,0,0,1,true,false,true,2,,,,,
o63500,124,266,11,0,0,0,1,0,0,5,0,0,4,0,0,0,true,false,true,2,,,,,
o34208,130,371,45,0,1,14,24,0,1,1,0,0,1,0,1,0,true,false,true,2,,,,,
o45630,130,433,27,0,0,0,1,0,0,7,0,0,4,0,4,3,true,false,true,2,,,,,
o13839,131,478,23,0,0,0,1,0,1,1,1,0,0,1,13,4,true,false,true,2,,,,,
o41627,132,266,14,0,0,0,0,0,0,0,0,1,2,0,4,0,true,false,true,2,,,,,
