objectId,inSize,outSize,totalTime,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
no27825,36,166,306,17,196,2,13,0,0,5,0,1,1,0,60,2,true,false,true,2,,04052022_121049,1200000,null,SuperPiuma.local
no67205,54,453,305,17,196,3,14,0,0,6,0,0,1,0,56,1,true,false,true,2,,,,,
no27841,54,453,307,17,196,3,13,0,1,8,0,0,1,0,54,3,true,false,true,2,,,,,
no89637,71,348,307,17,196,3,13,0,1,5,0,1,2,0,58,3,true,false,true,2,,,,,
no27830,72,487,306,17,196,3,14,0,0,5,0,1,1,0,56,2,true,false,true,2,,,,,
no35505,77,166,307,17,196,3,13,0,0,5,0,0,2,0,59,3,true,false,true,2,,,,,
no31117,92,166,306,17,196,2,13,0,0,4,0,1,1,0,60,2,true,false,true,2,,,,,
no28265,99,166,306,17,196,2,13,0,0,6,0,1,0,0,59,2,true,false,true,2,,,,,
no24891,100,166,5,0,1,0,0,0,1,0,0,0,0,0,1,1,true,false,true,2,,,,,
no27834,107,662,39,0,0,0,10,0,0,9,0,0,14,1,1,1,true,false,true,2,,,,,
no67689,111,166,12,0,0,0,5,0,0,1,1,0,0,0,0,2,true,false,true,2,,,,,
no63996,116,166,5,0,0,0,0,0,0,1,0,0,0,0,1,3,true,false,true,2,,,,,
no19978,117,166,4,0,0,0,1,0,0,0,0,0,1,0,1,1,true,false,true,2,,,,,
no9292,120,1033,43,0,1,1,6,0,3,2,11,0,7,0,7,0,true,false,true,2,,,,,
no25175,123,166,5,0,1,1,1,0,0,0,0,0,0,0,2,0,true,false,true,2,,,,,
no48514,126,620,31,0,0,0,4,0,4,2,1,0,10,1,5,0,true,false,true,2,,,,,
no34210,132,553,37,1,1,8,7,0,1,1,0,0,9,0,6,1,true,false,true,2,,,,,
no63500,135,453,13,0,0,0,0,0,1,1,0,0,1,0,4,5,true,false,true,2,,,,,
no34208,141,560,47,0,1,18,23,0,0,0,0,1,1,0,1,1,true,false,true,2,,,,,
no45630,141,620,28,0,0,0,0,0,3,2,1,0,11,1,6,2,true,false,true,2,,,,,
no13839,142,818,29,0,0,0,1,0,1,2,0,0,11,1,6,0,true,false,true,2,,,,,
no41627,143,453,8,0,0,0,0,0,1,1,0,0,1,0,2,2,true,false,true,2,,,,,
no41637,143,453,6,0,0,0,0,0,1,1,0,0,0,0,3,0,true,false,true,2,,,,,
no63326,150,166,7,0,0,0,0,0,1,1,0,1,0,0,3,1,true,false,true,2,,,,,
no79447,150,365,11,0,0,1,0,0,1,1,0,0,4,0,3,0,true,false,true,2,,,,,
no9908,152,295,11,0,0,0,6,0,0,1,0,1,0,0,0,1,true,false,true,2,,,,,
no25177,155,565,10,0,0,0,1,0,0,2,1,0,1,0,3,0,true,false,true,2,,,,,
no48762,158,819,25,0,1,0,2,0,0,3,0,0,10,0,3,4,true,false,true,2,,,,,
no63994,158,620,18,0,0,0,0,0,1,6,1,0,3,1,5,1,true,false,true,2,,,,,
no71844,159,303,8,0,0,0,0,1,1,1,0,1,0,0,2,2,true,false,true,2,,,,,
no36645,160,1114,27,0,0,1,5,0,0,2,2,0,5,0,8,1,true,false,true,2,,,,,
no44993,163,544,18,0,0,0,1,0,0,4,0,0,6,0,2,3,true,false,true,2,,,,,
no45229,166,593,17,0,0,0,0,0,0,3,0,1,3,1,6,2,true,false,true,2,,,,,
no70564,171,365,9,1,0,0,0,0,1,1,0,0,1,0,2,3,true,false,true,2,,,,,
no25183,176,669,21,0,0,0,1,0,0,4,1,0,8,0,5,0,true,false,true,2,,,,,
no44456,178,166,4,1,0,0,0,0,0,0,0,0,0,0,1,1,true,false,true,2,,,,,
no76869,178,579,11,0,0,0,1,0,0,2,2,0,2,0,3,1,true,false,true,2,,,,,
no10082,180,1415,18,0,1,0,0,0,0,3,2,0,5,1,6,0,true,false,true,2,,,,,
no25189,181,1007,30,0,1,0,0,0,3,5,3,0,3,2,3,10,true,false,true,2,,,,,
no25192,181,1005,28,0,0,0,0,0,6,1,3,1,2,3,2,9,true,false,true,2,,,,,
no41609,181,453,15,1,0,5,3,0,0,1,0,0,1,0,1,2,true,false,true,2,,,,,
no25195,184,1298,25,0,0,0,1,0,0,2,2,1,5,0,2,11,true,false,true,2,,,,,
no82286,184,1015,22,0,0,0,1,0,0,4,1,1,8,0,2,2,true,false,true,2,,,,,
no25942,185,577,11,0,0,0,1,0,0,0,1,0,0,1,7,1,true,false,true,2,,,,,
no90933,187,564,19,0,0,0,1,0,0,2,0,0,2,0,3,10,true,false,true,2,,,,,
no47168,187,565,10,0,0,0,1,0,0,5,0,0,1,0,2,0,true,false,true,2,,,,,
no34211,187,716,17,0,0,0,1,0,0,3,0,0,4,1,4,3,true,false,true,2,,,,,
no77414,189,359,6,0,0,1,1,0,0,1,0,1,1,0,0,0,true,false,true,2,,,,,
no25159,189,486,8,0,1,0,0,0,0,1,0,0,2,0,1,3,true,false,true,2,,,,,
no69753,191,166,5,0,0,0,0,0,0,0,0,0,0,0,3,0,true,false,true,2,,,,,
no75593,195,287,10,0,0,0,0,0,0,3,0,0,0,1,1,4,true,false,true,2,,,,,
no45213,196,818,26,0,0,0,1,0,0,5,1,0,6,2,9,2,true,false,true,2,,,,,
no41604,197,497,13,0,0,0,1,0,0,3,0,0,2,1,4,2,true,false,true,2,,,,,
no67198,198,1650,14,0,0,0,1,0,0,2,3,0,4,0,1,1,true,false,true,2,,,,,
no17123,202,620,16,1,0,0,0,0,4,4,0,0,1,0,5,0,true,false,true,2,,,,,
